Team ID	Team Name	Deck 1	Deck 2	Deck 3	Deck 4
20283	SwolePatrol	AAECAaToAgr6BuauArnBAsrDAtPFAozHArnHAo7TAuPjAsPqAgqKAdwD9AWvB/YHjwmbwgKIxwKKxwLt0gIA	AAECAa0GBOCsAsfLAubMAujQAg0IjQjyDIK1Arq7AvC7AtzBAsrDApnIAsrLAs7MAsvmAtfrAgA	AAECAR8GngGAB9kJ39ICx9MC8eoCDKgCtQPJBLsF6wfbCf4M+LECubQC5sIC49IC0tMCAA=	AAECAZICCLQDrATEBqIJ/60Cy7wC8eoC3esCC0Bf/gH3A4UI5AjNuwKgzQKR0AKe0gKE5gIA
20102	21 Characters	AAECAf0EBOu6ApvLAt7NAqLTAg1NcbsClQPmBJYF7AXXtgKHvQLBwQKYxAKP0wLR4QIA	AAECAaToAgSvBNmuAry9ArnBAg3bA6cF8gWnCLEI06oC07wCs8ECncICscIC48sC+NIC1uUCAA==	AAECAf0GAsrLApziAg4w9wTyBc4Hwgi0rAK8tgKXwQLrwgKaywKbywL3zQLy0ALR4QIA	AAECAa0GAA+hBOUE8gz3DLW7Arq7Ar27AvC7AtHBAs7MAojUAtHhAr/lAsvmAvzqAgA=
19869	The Fraud Squad	AAECAZ8FAqEGucECDsUD2wOnBa8HpwixCNOqAtmuAtO8ArPBAp3CArHCAuPLAvjSAgA=	AAECAf0GBpME4KwCycICl9MCneIC2+kCDPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZICBPIFws4CmdMCnOICDb6uArazApfBAqzCAuvCAsrDAsjHApvLAsrLAofOAvnmAtDnAtfrAgA=	AAECAa0GAA8IjQjyDIK1Arq7AvC7AtnBAsrDApnIAsrLAs7MAsvmAtDnAvzqAtfrAgA=
19048	Tavern Patrol	AAECAf0GBNsG4KwCl9MC2+kCDZME9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAYsWArsDucECDsUD2wOnBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAf0EBMABqwSjtgKi0wINcbsClQO7A+YElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAa0GAA8IuwONCPIMgrUCursC8LsC2cECmcgCyssCzswCy+YC0OcC/OoC1+sCAA==
20433	Lotus Nighthawk	AAECAf0GBMnCApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZICBIoHlL0C+cACmdMCDUBf8gXEBuQIvq4CtLsCy7wCz7wC3b4CoM0Ch84CmNICAA==	AAECAf0EAu4C67oCDnG7ApUDqwTmBJYF7AWjtgLXtgKHvQLBwQKvwgKYxAKP0wIA	AAECAa0GAo0I0OcCDgjyDIK1Arq7AvC7AtnBAq/CAsrDApnIAsrLAs7MAqbOAsvmAtfrAgA=
20524	The Meme Team	AAECAR8E2QexCM6uAtnCAg2oArUD8gXrB9sJ7QmBCv4M6rsCn8IC68ICicMCjsMCAA==	AAECAf0EBMABqwS/CKLTAg1NcbsClQPmBJYF7AWjtgLXtgLrugKHvQLBwQKP0wIA	AAECAf0GBPIF4KwCobcC2OcCDdsGtgfECMwIm8ICysMC3sQC58sC8tAC+NACiNIC/OUC6OcCAA==	AAECAa0GAooBqrICDgjhBI0IgrUCursC8LsC4b8Cm8ICysMCmcgCzswCy+YC/OoC1+sCAA==
20622	Buff Rotface	AAECAaToAgb0BbnBAoPHAtblArXmArfnAgynBfUF2QexCNmuAruvAv+vArjHAtnHAuPLAvjSAonmAgA=	AAECAf0GBqMB8gXhB5fTAtjnAtvpAgyTBPcEtgfECN7EAufLAvLQAvjQAojSAovhAvzlAujnAgA=	AAECAR8GgAfFCKirAoW4AunSAobTAgyNAagCtQPJBJcI2wn+DPixAt3SAt/SAuPSAuHjAgA=	AAECAa0GAooH0OcCDgiNCPIMgrUCursC8LsC4b8CysMCmcgCyssCzswCy+YC/OoC1+sCAA==
19982	BSU Bears	AAECAZ8FAq8EucECDsUD2wOnBa8HpwixCNOqAtO8ArPBAp3CArHCAuPLAvjSAtblAgA=	AAECAf0GBMnCApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAf0EBsABqwS/CKO2Atm7AqLTAgxxuwKVA+YElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAa0GApAC0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
20389	Semester Converters	AAECAZICBl/pAc+8ApS9ApnTAvnmAgxAxAbkCLS7Asu8At2+AqDNAofOApTSApjSAp7SAoTmAgA==	AAECAf0EBsABqwS/CMkNo7YCotMCDHG7ApUD5gSWBewF17YC67oCh70CwcECmMQCj9MCAA	AAECAf0GBPIFl9MCneIC2+kCDZME9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA
18731	Renostorm	AAECAcn1AgTyBZfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZ8FArnBAq/CAg7FA9sDpwXyBa8HpwjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gIA	AAECAf0EBsABqwS/CKO2Atm7AqLTAgxxuwKVA+YElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
